crn, date, julian,c_deep_mean,c_deep_StdDev,c_shallow_mean,StdDev,StdErr
6,51889,229,1.85,0,1.915,0.389,0.275
8,72989,301,1.59,0,2.15,0,0
9,82489,327,1.435,0.092,1.99,0.042,0.03
10,92289,356,1.81,0,,,
11,101889,382,2.85,0,,,
13,10590,461,1.175,0.035,1.73,0,0
14,,,,,1.74,0,0
15,31990,534,1.73,0,1.855,0.007,0.005
16,41390,559,1.52,0,2.063,0.084,0.048
17,50990,585,1.88,0,1.98,0,0
18,61390,620,1.72,0,2.24,0,0
19,72590,662,1.71,0,2.05,0,0
22,121890,808,1.36,0,1.58,0,0
23,20391,855,1.255,0.078,1.76,0,0
24,30791,887,1.41,0,1.75,0,0
25,41091,921,1.78,0.502,1.864,0.05,0.022
26,50891,949,1.86,0,,,
27,60591,977,1.745,0.106,2.36,0,0
28,71091,1012,1.88,0,,,
29,81091,1043,2,0.707,2.395,0.148,0.105
31,102191,1115,1.54,0,4.44,0,0
32,120791,1162,2.445,0.474,2.4,0,0
33,10592,1191,1.82,0,,,
34,21592,1232,1.08,0,,,
35,30692,1252,2.08,0,1.93,0,0
36,41792,1294,2.85,0,2.425,0.686,0.485
37,60992,1347,1.53,0,1.76,0,0
38,70592,1373,2.4,0,,,
39,80592,1404,1.86,0,2.04,0,0
40,92392,1453,1.69,0.17,2.66,0,0
41,102092,1480,1.148,0.156,3.264,0.73,0.327
42,112492,1515,1.94,0.201,2.59,0.198,0.14
43,121692,1537,1.73,0,2.085,0.205,0.145
44,12093,1572,1.25,0,1.635,0.148,0.105
45,21793,1600,1.252,0.26,1.685,0.134,0.095
46,41593,1657,1.93,0.21,1.95,0,0
47,52193,1693,1.89,0,3.65,0,0
49,91593,1810,1.89,0.057,1.93,0,0
50,103093,1855,1.76,0.255,2.48,0,0
51,12094,1937,1.007,0.331,1.793,0.112,0.065
52,21794,1965,1.74,0,2.24,0,0
53,30994,1985,1.76,0,1.84,0,0
54,61994,2087,2.46,0,,,
55,72594,2123,2.06,0.255,3.93,0,0
56,83094,2159,1.843,0.249,3.193,1.589,0.918
57,92394,2183,1.897,0.033,2.065,0.163,0.115
58,101594,2205,1.48,0.263,1.74,0,0
59,111994,2240,1.375,0.148,1.43,0,0
60,20695,2319,1.62,0.261,2.24,0.141,0.1
61,30495,2345,1.37,0,1.725,0.134,0.095
62,40695,2378,1.635,0.007,1.865,0.035,0.025
63,50795,2409,1.87,0,2.075,0.106,0.075
64,73095,2493,1.67,0,2.12,0,0
65,82995,2523,1.73,0.057,1.953,0.126,0.073
66,92695,2551,1.91,0,1.88,0.17,0.12
67,102795,2582,1.622,0.221,2.275,0.177,0.125
68,111795,2603,1.476,0.353,2,0.115,0.067
69,11796,2664,1.482,0.364,1.97,0.042,0.03
70,32796,2734,1.72,0,2.04,0.468,0.27
71,42496,2762,1.67,0,2.105,0.021,0.015
72,52296,2790,1.82,0.071,2.375,0.163,0.115
73,62696,2825,2.46,0,2.02,0,0
74,72796,2856,1.83,0,2.395,0.007,0.005
75,82196,2881,1.712,0.285,2.505,0.106,0.075
76,100296,2923,1.29,0.184,2.355,0.346,0.245
77,103096,2951,2.02,0,1.97,0.113,0.08
