crn, date, julian, n_deep_mean, n_deep_StdDev, n_shallow_mean, n_shallow_StdDev
4,22689,148,0.227,0,0.255,0
6,51889,229,0.272,0,0.286,0.02
8,72989,301,0.236,0,0.293,0
9,82489,327,0.272,0.011,0.337,0.028
10,92289,356,0.237,0,,
11,101889,382,0.314,0,,
13,10590,461,0.103,0.009,0.181,0
14,,,,,0.258,0
15,31990,534,0.272,0,0.282,0.005
16,41390,559,0.216,0,0.307,0.007
17,50990,585,0.3,0,0.321,0
18,61390,620,0.237,0,0.3,0
19,72590,662,0.293,0,0.384,0
22,121890,808,0.206,0,0.237,0
23,20391,855,0.17,0.005,0.209,0
24,30791,887,0.23,0,0.279,0
25,41091,921,0.277,0.023,0.279,0.013
26,50891,949,0.335,0,,
27,60591,977,0.24,0.045,,
28,71091,1012,0.3,0,,
29,81091,1043,0.233,0.114,0.318,0.074
31,102191,1115,0.293,0,0.265,0
33,10592,1191,0.293,0,0.286,0
34,21592,1232,0.188,0,0.209,0
35,30692,1252,0.23,0,0.411,0.088
36,41792,1294,0.523,0,0.202,0
37,60992,1347,0.185,0,0.384,0
38,70592,1373,0.307,0,0.418,0
39,80592,1404,0.363,0,0.408,0.053
40,92392,1453,0.375,0.017,0.418,0.049
41,102092,1480,0.238,0.05,0.369,0.069
42,112492,1515,0.34,0.065,0.296,0.025
43,121692,1537,0.307,0,0.361,0.007
44,12093,1572,0.268,0,0.39,0
45,21793,1600,0.191,0.017,0.3,0
46,41593,1657,0.385,0.03,0.3,0
47,52193,1693,0.307,0,0.662,0
49,91593,1810,0.318,0.025,0.242,0.015
50,103093,1855,0.466,0.104,0.307,0
51,12094,1937,0.149,0.056,0.272,0
52,21794,1965,0.254,0,0.335,0
53,30994,1985,0.279,0,0.465,0.214
54,61994,2087,0.279,0,0.319,0.007
55,72594,2123,0.326,0.015,0.272,0
56,83094,2159,0.319,0.036,0.223,0
57,92394,2183,0.302,0.012,0.323,0.022
58,101594,2205,0.276,0.023,0.244,0.04
59,111994,2240,0.228,0.012,0.649,0.069
60,20695,2319,0.265,0.032,0.308,0.028
61,30495,2345,0.209,0,0.308,0.014
62,40695,2378,0.38,0.044,0.266,0.022
63,50795,2409,0.289,0,0.333,0.033
64,73095,2493,0.509,0,0.374,0.099
65,82995,2523,0.276,0.005,0.375,0.023
66,92695,2551,0.328,0,0.341,0.104
67,102795,2582,0.262,0.035,0.423,0.022
68,111795,2603,0.252,0.038,0.316,0.002
69,11796,2664,0.318,0.062,0.335,0
70,32796,2734,0.307,0,0.339,0.005
71,42496,2762,0.293,0,0.312,0.017
72,52296,2790,0.255,0.025,0.33,0.002
73,62696,2825,0.446,0,0.291,0.013
74,72796,2856,0.282,0,0.179,0.018
75,82196,2881,0.233,0.039,0.246,0.007
76,100296,2923,0.232,0.047,0.265,0
77,103096,2951,0.338,0,0.268,0.045
78,121196,2993,0.178,0,0.258,0.069
79,10897,3021,0.195,0,0.303,0.035
80,21897,3062,0.274,0.015,0.258,0
81,31297,3084,0.199,0.064,0.363,0
82,40997,3112,0.356,0,0.352,0.005
83,50797,3140,0.282,0,0.39,0
84,60497,3168,0.317,0,0.26,0.027
85,70997,3203,0.265,0,0.23,0
86,80297,3227,0.261,0,0.255,0.025
87,92597,3281,0.383,0,0.265,0
88,120597,3352,0.383,0,0.247,0.015
89,11198,3389,0.265,0,0.289,0.015
90,21998,3428,0.303,0,0.272,0
91,31898,3455,0.286,0,0.404,0
93,51398,3511,0.247,0,0.328,0
94,61798,3546,0.247,0,0.3,0
95,71598,3574,0.23,0,0.265,0
96,81098,3600,0.195,0,0.342,0
97,92898,3649,0.261,0,0.307,0
98,101998,3670,0.349,0,0.279,0
99,111198,3693,0.23,0,0.318,0.005
100,120998,3721,0.314,0,0.251,0
101,11399,3756,0.275,0,0.272,0
102,21899,3792,0.268,0,0.3,0.01
103,31799,3819,0.286,0,0.311,0
104,41499,3847,0.331,0,0.241,0
105,51099,3873,0.251,0,0.249,0.019
106,71499,3938,0.397,0,0.286,0.02
107,81399,3968,0.283,0,0.235,0.017
108,101599,4031,0.223,0,0.244,0
109,110999,4056,0.242,0,0.254,0.01
110,121599,4092,0.216,0,0.259,0.016
111,20300,4142,0.258,0,0.283,0.012
112,30100,4169,0.254,0,0.371,0
113,32900,4197,0.213,0,0.469,0.042
114,42600,4225,0.273,0,0.242,0
115,52500,4254,0.238,0,0.267,0.01
116,62100,4281,0.221,0,0.344,0.055
117,72600,4316,0.245,0,0.253,0
118,82300,4344,0.219,0,0.247,0.002
119,101800,4400,0.217,0,0.249,0
120,113000,4443,0.281,0,0.257,0.001
121,122000,4463,0.256,0,0.236,0.004
122,11701,4491,0.236,0,0.299,0.001
123,21401,4519,0.214,0,0.254,0.011
124,32101,4554,0.233,0,0.264,0.001
125,41801,4582,0.239,0,0.231,0
126,51601,4610,0.229,0,0.294,0
127,61401,4639,0.238,0,0.403,0
128,71101,4666,0.252,0,0.299,0.02
129,80801,4694,0.255,0,0.266,0
130,100201,4749,0.267,0,0.267,0.013
131,102301,4770,0.242,0,0.249,0.013
132,111701,4795,0.267,0,0.263,0.004
133,121401,4822,0.27,0,0.273,0
134,11602,4855,0.26,0,0.271,0.004
135,22102,4891,0.228,0,0.3,0.006
136,31302,4911,0.235,0,0.345,0
138,62902,5019,0.261,0,0.25,0.062
139,82802,5079,0.272,0,0.284,0.027
140,100702,5119,0.301,0,0.269,0.016
141,110402,5147,0.256,0,0.281,0.009
142,112502,5168,0.252,0,0.257,0.002
143,121902,5192,0.272,0,0.311,0
144,11703,5221,0.266,0,0.27,0.008
145,22603,5261,0.282,0,0.258,0.006
146,32903,5292,0.245,0,0.298,0.037
147,42403,5318,0.288,0,0.288,0.013
149,62003,5375,0.252,0,0.308,0.015
150,72003,5405,0.298,0,0.354,0.029
151,82103,5437,0.33,0,0.278,0
152,101503,5492,0.292,0,0.296,0.041
153,111003,5518,0.274,0,0.24,0.027
154,122003,5558,0.236,0,0.247,0.008
155,12204,5591,0.275,0,0.25,0
156,22504,5625,0.258,0,0.348,0.042
157,32004,5649,0.257,0,0.401,0.039
