crn, date, julian,p_deep_mean, p_shallow_mean
1,103188,30,0.008,0.018
2,120288,62,0.020,0.016
3,10889,99,0.013,0.013
7,62489,266,0.010,0.012
8,72989,301,0.012,0.019
11,101889,382,0.007,0.023
13,10590,461,0.023,0.018
15,31990,534,0.014,0.015
17,50990,585,0.021,0.016
18,61390,620,0.015,0.028
19,72590,662,0.017,0.025
23,20391,855,0.017,0.023
24,30791,887,0.008,0.020
25,41091,921,0.015,0.017
26,50891,949,0.017,0.018
27,60591,977,0.015,0.021
28,71091,1012,0.018,0.017
29,81091,1043,0.017,0.019
30,91891,1082,0.012,0.021
31,102191,1115,0.015,0.021
33,10592,1191,0.019,0.016
34,21592,1232,0.015,0.013
35,30692,1252,0.013,0.015
36,41792,1294,0.016,0.023
37,60992,1347,0.018,0.017
38,70592,1373,0.014,0.012
40,92392,1453,0.014,0.021
41,102092,1480,0.011,0.019
42,112492,1515,0.011,0.012
43,121692,1537,0.012,0.016
44,12093,1572,0.011,0.009
45,21793,1600,0.017,0.015
46,41593,1657,0.019,0.019
47,52193,1693,0.017,0.018
49,91593,1810,0.015,0.015
50,103093,1855,0.012,0.016
51,12094,1937,0.011,0.011
52,21794,1965,0.014,0.017
53,30994,1985,0.012,0.012
54,61994,2087,0.010,0.014
55,72594,2123,0.013,0.008
56,83094,2159,0.015,0.016
57,92394,2183,0.012,0.016
58,101594,2205,0.012,0.014
59,111994,2240,0.011,0.014
60,20695,2319,0.015,0.010
61,30495,2345,0.009,0.015
62,40695,2378,0.013,0.012
63,50795,2409,0.014,0.016
64,73095,2493,0.011,0.016
65,82995,2523,0.015,0.013
66,92695,2551,0.011,0.009
67,102795,2582,0.011,0.015
68,111795,2603,0.014,0.016
69,11796,2664,0.014,0.009
70,32796,2734,0.013,0.015
71,42496,2762,0.013,0.019
72,52296,2790,0.007,0.016
73,62696,2825,0.019,0.019
74,72796,2856,0.013,0.013
75,82196,2881,0.013,0.021
76,100296,2923,0.015,0.013
77,103096,2951,0.016,0.010
78,121196,2993,0.013,0.012
79,10897,3021,0.010,0.013
80,21897,3062,0.014,0.013
81,31297,3084,0.016,0.019
82,40997,3112,0.007,0.014
83,50797,3140,0.014,0.012
84,60497,3168,0.014,0.013
85,70997,3203,0.011,0.018
86,80297,3227,0.010,0.015
87,92597,3281,0.010,0.015
88,120597,3352,0.015,0.017
89,11198,3389,0.012,0.013
90,21998,3428,0.013,0.015
91,31898,3455,0.011,0.015
92,41598,3483,0.010,0.012
93,51398,3511,0.010,0.008
94,61798,3546,0.011,0.012
95,71598,3574,0.012,0.015
96,81098,3600,0.009,0.017
97,92898,3649,0.013,0.014
98,101998,3670,0.015,0.016
99,111198,3693,0.010,0.014
100,120998,3721,0.010,0.015
101,11399,3756,0.013,0.018
102,21899,3792,0.010,0.010
103,31799,3819,0.016,0.017
104,41499,3847,0.013,0.014
105,51099,3873,0.014,0.014
106,71499,3938,0.017,0.015
107,81399,3968,0.014,0.013
108,101599,4031,0.013,0.016
109,110999,4056,0.010,0.015
110,121599,4092,0.007,0.011
111,20300,4142,0.013,0.013
112,30100,4169,0.011,0.014
113,32900,4197,0.009,0.014
114,42600,4225,0.011,0.014
115,52500,4254,0.010,0.011
116,62100,4281,0.008,0.010
117,72600,4316,0.013,0.021
118,82300,4344,0.012,0.017
119,101800,4400,0.008,0.017
120,113000,4443,0.008,0.008
121,122000,4463,0.011,0.016
122,11701,4491,0.008,0.010
123,21401,4519,0.008,0.014
124,32101,4554,0.009,0.010
125,41801,4582,0.012,0.015
126,51601,4610,0.008,0.021
127,61401,4639,0.011,0.007
128,71101,4666,0.015,0.012
129,80801,4694,0.015,0.020
130,100201,4749,0.015,0.019
131,102301,4770,0.014,0.021
132,111701,4795,0.011,0.021
133,121401,4822,0.014,0.015
134,11602,4855,0.009,0.011
135,22102,4891,0.012,0.014
136,31302,4911,0.011,0.012
137,52102,4980,0.009,0.007
138,62902,5019,0.007,0.011
139,82802,5079,0.011,0.012
140,100702,5119,0.008,0.012
141,110402,5147,0.011,0.014
142,112502,5168,0.008,0.012
143,121902,5192,0.010,0.012
144,11703,5221,0.015,0.013
145,22603,5261,0.008,0.014
146,32903,5292,0.009,0.010
147,42403,5318,0.009,0.011
148,52103,5345,0.007,0.013
149,62003,5375,0.011,0.010
150,72003,5405,0.010,0.015
151,82103,5437,0.020,0.007
152,101503,5492,0.011,0.015
153,111003,5518,0.011,0.015
154,122003,5558,0.006,0.013
155,12204,5591,0.009,0.011
156,22504,5625,0.009,0.012
157,32004,5649,0.014,0.009
158,42104,5681,0.014,0.015
159,51904,5709,0.013,0.012
160,61604,5737,0.009,0.016
161,71304,5764,0.004,0.015
162,81604,5798,0.010,0.014
163,92904,5842,0.010,0.011
164,103104,5874,0.014,0.016
165,112804,5902,0.006,0.011
166,122104,5925,0.009,0.010
167,20205,5968,0.007,0.010
168,30505,5999,0.007,0.007
169,51805,6073,0.010,0.008
170,61505,6101,0.014,0.010
171,71705,6133,0.006,0.009
173,91005,6188,0.006,0.015
174,100905,6217,0.013,0.010
175,111205,6251,0.007,0.009
176,121305,6282,0.011,0.008
177,12506,6325,0.008,0.011
178,21506,6346,0.006,0.007
179,31006,6369,0.004,0.010
180,40206,6392,0.014,0.010
181,52706,6447,0.014,0.010
182,61406,6465,0.010,0.011
183,71306,6494,0.008,0.010
184,80906,6521,0.010,0.009
185,91606,6559,0.007,0.010
186,102106,6594,0.006,0.010
187,110906,6613,0.005,0.012
188,121006,6644,0.004,0.008
189,20707,6703,0.009,0.005
190,32107,6745,0.014,0.006
191,50507,6790,0.007,0.004
193,70807,6854,0.012,0.014
194,80407,6881,0.009,0.013
195,90307,6911,0.006,0.007
196,100307,6941,0.011,0.009
197,120207,7001,0.008,0.008
198,122107,7020,0.006,0.008
199,13008,7060,0.011,0.007
200,22408,7085,0.008,0.014
201,52808,7179,0.009,0.010
202,62608,7208,0.012,0.011
203,72708,7239,0.008,0.007
204,81708,7260,0.008,0.012
